year_from,year_to,mun_id_x,short_name_x,mun_id_y,short_name_y
2005,2005,5001,Arbedo-Castione,5001,Arbedo-Castione
2005,2005,5002,Bellinzona,5002,Bellinzona
2005,2005,5003,Cadenazzo,5003,Cadenazzo
2005,2005,5004,Camorino,5004,Camorino
2005,2005,5005,Giubiasco,5005,Giubiasco
2005,2005,5006,Gnosca,5006,Gnosca
2005,2005,5007,Gorduno,5007,Gorduno
2005,2005,5008,Gudo,5008,Gudo
2005,2005,5009,Isone,5009,Isone
2005,2005,5010,Lumino,5010,Lumino
2005,2005,5011,Medeglia,5011,Medeglia
2005,2005,5012,Moleno,5012,Moleno
2005,2005,5013,Monte Carasso,5013,Monte Carasso
2005,2005,5014,Pianezzo,5014,Pianezzo
2005,2005,5015,Preonzo,5015,Preonzo
2005,2005,5017,Sant'Antonino,5017,Sant'Antonino
2005,2005,5018,Sant'Antonio,5018,Sant'Antonio
2005,2005,5019,Sementina,5019,Sementina
2005,2005,5031,Aquila,5031,Aquila
2005,2005,5032,Campo (Blenio),5032,Campo (Blenio)
2005,2005,5036,Ghirone,5036,Ghirone
2005,2005,5040,Ludiano,5040,Ludiano
2005,2005,5041,Malvaglia,5041,Malvaglia
2005,2005,5043,Olivone,5043,Olivone
2005,2005,5046,Semione,5046,Semione
2005,2005,5047,Torre,5047,Torre
2005,2005,5048,Acquarossa,5048,Acquarossa
2005,2005,5061,Airolo,5061,Airolo
2005,2005,5062,Anzonico,5062,Anzonico
2005,2005,5063,Bedretto,5063,Bedretto
2005,2005,5064,Bodio,5064,Bodio
2005,2005,5065,Calonico,5065,Calonico
2005,2005,5066,Calpiogna,5066,Calpiogna
2005,2005,5067,Campello,5067,Campello
2005,2005,5068,Cavagnago,5068,Cavagnago
2005,2005,5069,Chiggiogna,5069,Chiggiogna
2005,2005,5070,Chironico,5070,Chironico
2005,2005,5071,Dalpe,5071,Dalpe
2005,2005,5072,Faido,5072,Faido
2005,2005,5073,Giornico,5073,Giornico
2005,2005,5074,Mairengo,5074,Mairengo
2005,2005,5075,Osco,5075,Osco
2005,2005,5076,Personico,5076,Personico
2005,2005,5077,Pollegio,5077,Pollegio
2005,2005,5078,Prato (Leventina),5078,Prato (Leventina)
2005,2005,5079,Quinto,5079,Quinto
2005,2005,5080,Rossura,5080,Rossura
2005,2005,5081,Sobrio,5081,Sobrio
2005,2005,5091,Ascona,5091,Ascona
2005,2005,5094,Borgnone,5094,Borgnone
2005,2005,5095,Brione (Verzasca),5095,Brione (Verzasca)
2005,2005,5096,Brione sopra Minusio,5096,Brione sopra Minusio
2005,2005,5097,Brissago,5097,Brissago
2005,2005,5098,Caviano,5098,Caviano
2005,2005,5099,Cavigliano,5099,Cavigliano
2005,2005,5101,Contone,5101,Contone
2005,2005,5102,Corippo,5102,Corippo
2005,2005,5104,Cugnasco,5104,Cugnasco
2005,2005,5105,Frasco,5105,Frasco
2005,2005,5106,Gerra (Gambarogno),5106,Gerra (Gambarogno)
2005,2005,5107,Gerra (Verzasca),5107,Gerra (Verzasca)
2005,2005,5108,Gordola,5108,Gordola
2005,2005,5109,Gresso,5109,Gresso
2005,2005,5110,Indemini,5110,Indemini
2005,2005,5111,Intragna,5111,Intragna
2005,2005,5112,Lavertezzo,5112,Lavertezzo
2005,2005,5113,Locarno,5113,Locarno
2005,2005,5115,Losone,5115,Losone
2005,2005,5116,Magadino,5116,Magadino
2005,2005,5117,Mergoscia,5117,Mergoscia
2005,2005,5118,Minusio,5118,Minusio
2005,2005,5119,Mosogno,5119,Mosogno
2005,2005,5120,Muralto,5120,Muralto
2005,2005,5121,Orselina,5121,Orselina
2005,2005,5122,Palagnedra,5122,Palagnedra
2005,2005,5123,Piazzogna,5123,Piazzogna
2005,2005,5125,Ronco sopra Ascona,5125,Ronco sopra Ascona
2005,2005,5127,San Nazzaro,5127,San Nazzaro
2005,2005,5128,Sant'Abbondio,5128,Sant'Abbondio
2005,2005,5129,Sonogno,5129,Sonogno
2005,2005,5130,Tegna,5130,Tegna
2005,2005,5131,Tenero-Contra,5131,Tenero-Contra
2005,2005,5132,Vergeletto,5132,Vergeletto
2005,2005,5133,Verscio,5133,Verscio
2005,2005,5134,Vira (Gambarogno),5134,Vira (Gambarogno)
2005,2005,5135,Vogorno,5135,Vogorno
2005,2005,5136,Onsernone,5136,Onsernone
2005,2005,5137,Isorno,5137,Isorno
2005,2005,5141,Agno,5141,Agno
2005,2005,5143,Aranno,5143,Aranno
2005,2005,5144,Arogno,5144,Arogno
2005,2005,5146,Astano,5146,Astano
2005,2005,5147,Barbengo,5147,Barbengo
2005,2005,5148,Bedano,5148,Bedano
2005,2005,5149,Bedigliora,5149,Bedigliora
2005,2005,5150,Bidogno,5150,Bidogno
2005,2005,5151,Bioggio,5151,Bioggio
2005,2005,5153,Bironico,5153,Bironico
2005,2005,5154,Bissone,5154,Bissone
2005,2005,5155,Bogno,5155,Bogno
2005,2005,5160,Brusino Arsizio,5160,Brusino Arsizio
2005,2005,5161,Cademario,5161,Cademario
2005,2005,5162,Cadempino,5162,Cadempino
2005,2005,5163,Cadro,5163,Cadro
2005,2005,5165,Camignolo,5165,Camignolo
2005,2005,5167,Canobbio,5167,Canobbio
2005,2005,5168,Carabbia,5168,Carabbia
2005,2005,5169,Carabietta,5169,Carabietta
2005,2005,5170,Carona,5170,Carona
2005,2005,5171,Caslano,5171,Caslano
2005,2005,5173,Certara,5173,Certara
2005,2005,5174,Cimadera,5174,Cimadera
2005,2005,5176,Comano,5176,Comano
2005,2005,5177,Corticiasca,5177,Corticiasca
2005,2005,5178,Croglio,5178,Croglio
2005,2005,5180,Cureglia,5180,Cureglia
2005,2005,5181,Curio,5181,Curio
2005,2005,5186,Grancia,5186,Grancia
2005,2005,5187,Gravesano,5187,Gravesano
2005,2005,5188,Iseo,5188,Iseo
2005,2005,5189,Lamone,5189,Lamone
2005,2005,5191,Lugaggia,5191,Lugaggia
2005,2005,5192,Lugano,5192,Lugano
2005,2005,5193,Magliaso,5193,Magliaso
2005,2005,5194,Manno,5194,Manno
2005,2005,5195,Maroggia,5195,Maroggia
2005,2005,5196,Massagno,5196,Massagno
2005,2005,5197,Melano,5197,Melano
2005,2005,5198,Melide,5198,Melide
2005,2005,5199,Mezzovico-Vira,5199,Mezzovico-Vira
